cernvm-system-2.9.71 | 4587051bdcc32f5ec7a690eceb1bfd0935301ab7 | 2 | 19 Jun 2013 17:21:14 | 0 |
cernvm-system-2.9.78 | 10ae3e0f36930b283f77d354eec930fb3fe26303 | 6 | 19 Jun 2013 20:19:54 | 0 |
cernvm-system-2.9.80 | d5cd38841fa31e51a9bbed4a216467b15940a806 | 7 | 19 Jun 2013 20:34:07 | 0 |
cernvm-system-2.9.81 | c68ec44a5b52ae5a1bcf2575cd1390a8468b93d1 | 9 | 19 Jun 2013 20:48:10 | 0 |
cernvm-system-2.9.82 | 1b13589f4c3f9db6b1b763951c9171db70ea8507 | 12 | 20 Jun 2013 18:49:46 | 0 |
cernvm-system-2.9.83 | a767049ede2fb5296b9a36534d113b840e8fdd08 | 14 | 20 Jun 2013 19:19:47 | 0 |
cernvm-system-2.9.84 | 5e2d3bce48d90c58fb753450966d9aa1fb9a322e | 16 | 20 Jun 2013 21:49:05 | 0 |
cernvm-system-2.9.85 | aea1571ca1fa0baa7eddb1af71cff3474e1944b9 | 18 | 20 Jun 2013 22:34:46 | 0 |
cernvm-system-2.9.86 | 5fc54d9540e5c471905c7d642373f87d110fa1e0 | 20 | 21 Jun 2013 22:20:38 | 0 |
cernvm-system-2.9.87 | dee943526588afe55f3ee71fea76107872abf134 | 22 | 23 Jun 2013 14:55:06 | 0 |
cernvm-system-2.9.88 | 2ab6228604d53ddbaed7dfa53855b62e39b8ae1c | 24 | 24 Jun 2013 12:24:44 | 0 | 
